ID_REF	VALUE
1007_s_at	10.36145148
1053_at	6.807758118
117_at	4.570007294
121_at	7.503873788
1255_g_at	2.98664704
1294_at	7.219468063
1316_at	4.372818832
1320_at	4.785025718
1405_i_at	8.451747915
1431_at	2.853446838
1438_at	6.481278498
1487_at	8.740500278
1494_f_at	5.431899065
1552256_a_at	7.834756292
1552257_a_at	9.465086934
1552258_at	4.096884938
1552261_at	3.86312632
1552263_at	6.386387646
1552264_a_at	7.416695979
1552266_at	3.941972964
1552269_at	3.380516249
1552271_at	5.342417784
1552272_a_at	5.636789736
1552274_at	5.977435381
1552275_s_at	5.076395229
1552276_a_at	5.338753978
1552277_a_at	6.584133989
1552278_a_at	4.508712179
1552279_a_at	6.462215924
1552280_at	3.382548531
1552281_at	8.823571928
1552283_s_at	5.334764309
1552286_at	4.629824295
1552287_s_at	6.236226705
1552288_at	3.68145824
1552289_a_at	3.868112094
1552291_at	5.84489409
1552293_at	4.087961728
1552295_a_at	5.613471321
1552296_at	7.264797542
1552299_at	4.230872815
1552301_a_at	3.936673746
1552302_at	3.982400774
1552303_a_at	5.244306617
1552304_at	3.819006928
1552306_at	3.771314224
1552307_a_at	4.975630875
1552309_a_at	6.56568427
1552310_at	6.9620061
1552311_a_at	6.824905201
1552312_a_at	6.708654988
1552314_a_at	3.656249829
1552315_at	5.938145724
1552316_a_at	5.611095516
1552318_at	5.51217992
1552319_a_at	3.630799528
1552320_a_at	3.150045172
1552321_a_at	2.921158093
1552322_at	2.844258998
1552323_s_at	3.482360143
1552325_at	2.745278471
1552326_a_at	4.098821941
1552327_at	3.606496522
1552329_at	4.828122882
1552330_at	6.196266241
1552332_at	6.643112229
1552334_at	5.613388704
1552335_at	5.019125643
1552337_s_at	4.475131478
1552338_at	3.873316809
1552340_at	4.880227049
1552343_s_at	4.253318178
1552344_s_at	6.234162767
1552347_at	7.066517755
1552348_at	5.115535685
1552349_a_at	3.989727061
1552354_at	4.686596212
1552355_s_at	4.490253912
1552359_at	2.966351015
1552360_a_at	5.89005809
1552362_a_at	7.514413098
1552364_s_at	4.369327259
1552365_at	8.699444165
1552367_a_at	7.817432516
1552368_at	3.212081968
1552370_at	7.417199715
1552372_at	2.754245066
1552373_s_at	2.664178112
1552375_at	3.526351637
1552377_s_at	5.768821907
1552378_s_at	6.436483999
1552379_at	2.649641224
1552381_at	2.876346992
1552383_at	6.742273872
1552384_a_at	4.508699696
1552386_at	3.563057743
1552388_at	6.271359711
1552389_at	4.35511658
1552390_a_at	4.332362987
1552391_at	3.329650392
1552393_at	3.029048983
1552394_a_at	3.143481648
1552395_at	6.668703232
1552396_at	3.492539792
1552398_a_at	3.6998881
1552399_a_at	3.381448305
1552400_a_at	3.992913801
1552401_a_at	3.247905404
1552402_at	3.684705661
1552405_at	3.796237887
1552408_at	3.079933028
1552409_a_at	5.375753379
1552410_at	3.711239903
1552411_at	5.069734726
1552412_a_at	3.540754413
