ID_REF	VALUE
1007_s_at	10.3936522
1053_at	6.964797911
117_at	4.810679924
121_at	7.662755483
1255_g_at	3.25377971
1294_at	7.721324147
1316_at	4.425251479
1320_at	4.985659053
1405_i_at	6.782227721
1431_at	3.134188703
1438_at	6.741943211
1487_at	9.074263626
1494_f_at	5.517147315
1552256_a_at	8.011150391
1552257_a_at	9.50438813
1552258_at	3.895514199
1552261_at	4.125758539
1552263_at	6.156680357
1552264_a_at	7.725321945
1552266_at	3.710577662
1552269_at	3.453190022
1552271_at	5.493237656
1552272_a_at	5.23307605
1552274_at	6.502525549
1552275_s_at	5.50383093
1552276_a_at	5.302684959
1552277_a_at	6.065343381
1552278_a_at	4.372275726
1552279_a_at	5.933587591
1552280_at	3.568974068
1552281_at	9.212814586
1552283_s_at	3.389464797
1552286_at	4.420320122
1552287_s_at	6.116979826
1552288_at	4.090164799
1552289_a_at	4.005661184
1552291_at	5.950090442
1552293_at	4.361851168
1552295_a_at	5.584131055
1552296_at	7.369588896
1552299_at	4.581332054
1552301_a_at	4.046559756
1552302_at	3.578885647
1552303_a_at	4.948024771
1552304_at	3.63098548
1552306_at	4.121500559
1552307_a_at	4.865028689
1552309_a_at	5.203928176
1552310_at	7.197094845
1552311_a_at	6.819892228
1552312_a_at	7.009628248
1552314_a_at	3.791876337
1552315_at	5.84502319
1552316_a_at	5.253453406
1552318_at	4.89638591
1552319_a_at	3.851791409
1552320_a_at	3.145580726
1552321_a_at	2.778374228
1552322_at	2.88219709
1552323_s_at	3.819567313
1552325_at	2.915975581
1552326_a_at	4.194257608
1552327_at	3.587148005
1552329_at	4.204742387
1552330_at	6.466366758
1552332_at	6.581017764
1552334_at	5.259898331
1552335_at	4.880154592
1552337_s_at	4.552060785
1552338_at	3.868274696
1552340_at	5.072767623
1552343_s_at	3.924226837
1552344_s_at	6.168066492
1552347_at	7.043501198
1552348_at	5.331543244
1552349_a_at	4.013031064
1552354_at	4.497443017
1552355_s_at	4.795363133
1552359_at	2.957477649
1552360_a_at	6.126882584
1552362_a_at	8.171000262
1552364_s_at	4.234204323
1552365_at	9.390676493
1552367_a_at	8.769385585
1552368_at	3.150905722
1552370_at	7.981619792
1552372_at	2.618660023
1552373_s_at	2.797011629
1552375_at	3.390943021
1552377_s_at	6.039999221
1552378_s_at	6.11416036
1552379_at	2.649641224
1552381_at	2.808393371
1552383_at	6.755421679
1552384_a_at	4.384151009
1552386_at	4.388922306
1552388_at	6.238053878
1552389_at	3.651473216
1552390_a_at	4.390973064
1552391_at	3.411030793
1552393_at	2.949363994
1552394_a_at	3.020375728
1552395_at	6.606123342
1552396_at	3.767847302
1552398_a_at	3.675136874
1552399_a_at	3.289293133
1552400_a_at	3.960671988
1552401_a_at	3.059825422
1552402_at	3.680367131
1552405_at	3.920781187
1552408_at	3.055316792
1552409_a_at	5.455362783
1552410_at	3.885241725
1552411_at	5.330571303
1552412_a_at	3.616484759
1552414_at	3.48788545
1552415_a_at	3.534930029
1552417_a_at	5.646267278
1552418_at	5.016097809
1552419_s_at	5.431735545
1552421_a_at	3.758820045
1552422_at	4.545064584
1552423_at	4.557135223
1552424_at	3.329969041
1552425_a_at	3.680621244
1552426_a_at	8.062709355
1552427_at	3.58995031
1552430_at	2.824015435
1552432_at	5.358740074
1552436_a_at	5.287991385
1552438_a_at	3.005523874
1552439_s_at	2.953081812
1552440_at	3.599015973
1552445_a_at	2.998878816
1552448_a_at	3.04805365
1552449_a_at	3.314244063
1552450_a_at	4.79862309
1552452_at	3.152883938
1552453_a_at	3.154010969
1552455_at	5.269240253
1552456_a_at	3.801932105
1552457_a_at	3.347653192
1552458_at	3.150104705
1552459_a_at	4.047035522
1552461_at	2.907550402
1552463_at	2.849994415
1552466_x_at	2.751611839
1552467_at	6.167335357
1552468_a_at	3.638233187
1552470_a_at	5.190459156
1552472_a_at	7.045339648
1552473_at	7.316310897
1552474_a_at	6.676210104
1552476_s_at	7.421220455
1552477_a_at	8.636117784
1552478_a_at	7.085776905
1552480_s_at	2.43533406
1552481_s_at	4.263416237
1552482_at	3.625696087
1552484_at	6.368058654
1552485_at	5.437560446
1552486_s_at	6.638391908
1552487_a_at	2.869637332
1552489_s_at	2.744925611
1552490_at	3.941884144
1552491_at	4.287081934
1552493_s_at	3.324270424
1552494_at	4.060673563
1552496_a_at	6.408705496
1552497_a_at	5.676913241
1552498_at	3.744217801
1552499_a_at	4.072520636
1552501_a_at	4.954501757
1552502_s_at	7.295956128
1552503_at	4.379006352
1552504_a_at	6.045064668
1552506_at	4.000961023
1552507_at	3.540135845
1552508_at	3.408325068
1552509_a_at	2.949263933
1552510_at	7.549029579
1552511_a_at	4.621587255
1552514_at	3.234136381
1552515_at	3.152814263
1552516_a_at	5.224499483
1552518_s_at	3.507557789
1552519_at	8.8072079
1552520_at	3.361607882
1552521_a_at	3.046180378
1552522_at	2.59032865
1552523_a_at	3.314641152
1552524_at	5.568170004
1552526_at	3.742983397
1552528_at	6.276733928
1552531_a_at	3.645382294
1552532_a_at	3.028220368
1552535_at	4.776443661
1552536_at	3.985846633
1552538_a_at	3.196767992
1552540_s_at	4.873088399
1552541_at	6.126882584
1552542_s_at	3.394186773
1552543_a_at	3.481090645
1552544_at	3.389182965
1552546_a_at	3.409048971
1552548_at	3.467989176
1552549_a_at	5.195978926
1552552_s_at	3.365134641
1552553_a_at	4.548931125
1552554_a_at	3.54224654
1552555_at	5.796226745
1552557_a_at	2.971907396
1552558_a_at	5.676881945
1552559_a_at	5.042631238
1552562_at	3.917828101
1552563_a_at	3.240784354
1552564_at	3.115023568
1552566_at	3.453898254
1552568_at	3.799112055
1552569_a_at	3.498981043
1552570_at	3.744217801
1552572_a_at	2.692969691
1552573_s_at	3.577687528
1552575_a_at	4.746735328
1552576_at	4.163550608
1552578_a_at	2.818281751
1552579_a_at	3.33906603
1552580_at	4.767982462
1552582_at	4.061361182
1552583_s_at	5.362811721
1552584_at	5.244153266
1552585_s_at	2.903759563
1552586_at	4.266377618
1552587_at	3.142763959
1552588_a_at	2.993261908
1552590_a_at	2.970466725
1552592_at	2.977241379
1552594_at	5.581711073
1552596_at	5.765132724
1552598_at	3.9371727
1552599_at	3.135729741
1552602_at	4.421561212
1552604_at	4.183602712
1552605_s_at	2.894201226
1552607_at	3.907426213
1552608_at	3.640636386
1552609_s_at	3.853414477
1552610_a_at	8.844185235
1552611_a_at	7.087624278
1552612_at	8.577243026
1552613_s_at	7.969533959
1552615_at	7.549527515
1552616_a_at	4.87940239
1552617_a_at	8.335592387
1552618_at	6.556373411
1552619_a_at	5.545763894
1552620_at	6.682854463
1552621_at	6.73570848
1552622_s_at	5.912165372
1552623_at	5.788591389
1552625_a_at	6.371284929
1552626_a_at	5.069317811
1552627_a_at	6.990287855
1552628_a_at	8.352186158
1552629_a_at	3.321478178
1552630_a_at	4.397118794
1552631_a_at	5.045741172
1552632_a_at	4.193473778
1552633_at	4.656566108
1552634_a_at	5.250857324
1552637_at	3.106437187
1552639_at	5.303873908
1552641_s_at	5.348237944
1552643_at	4.818898563
1552644_a_at	3.978545148
1552646_at	4.667508813
1552648_a_at	5.725909961
1552649_a_at	4.5917119
1552651_a_at	6.19366047
1552652_at	6.281555113
1552656_s_at	5.852421893
1552657_a_at	4.724709453
1552658_a_at	3.369895524
1552660_a_at	7.113449512
1552661_at	2.602263568
1552662_a_at	3.56887452
1552663_a_at	5.831612357
1552664_at	5.416132131
1552665_at	4.610730183
1552666_a_at	2.956867334
1552667_a_at	5.06533494
1552669_at	3.838747412
1552670_a_at	6.267285548
1552671_a_at	4.007456565
1552672_a_at	4.513646468
1552673_at	4.67367977
1552674_at	2.669464237
1552675_at	2.811948932
1552676_at	4.766206327
1552677_a_at	4.977308887
1552678_a_at	5.303873908
1552680_a_at	3.479022768
1552682_a_at	3.572060626
1552684_a_at	4.726154602
1552685_a_at	3.907848723
1552686_at	4.344520062
1552687_a_at	3.70512234
1552689_at	5.543241437
1552690_a_at	4.733899228
1552691_at	3.229351742
1552693_at	3.020375728
1552694_at	3.784884555
1552695_a_at	5.840076602
1552696_at	4.287827411
1552698_at	4.898016876
1552701_a_at	8.579259806
1552703_s_at	7.792064535
1552705_at	3.113754781
1552708_a_at	2.842674974
1552711_a_at	7.069834167
1552712_a_at	4.749484082
1552713_a_at	3.193903243
1552714_at	2.914737408
