ID_REF	VALUE
1007_s_at	10.30560381
1053_at	7.313050066
117_at	4.763283052
121_at	7.560635609
1255_g_at	2.917020667
1294_at	7.495613419
1316_at	4.329452356
1320_at	4.816597062
1405_i_at	7.247017487
1431_at	2.966952949
1438_at	6.134192159
1487_at	8.694165346
1494_f_at	5.119777412
1552256_a_at	7.797146513
1552257_a_at	9.342064062
1552258_at	3.65683315
1552261_at	4.015870979
1552263_at	6.471234875
1552264_a_at	7.795725464
1552266_at	3.685578087
1552269_at	3.54863056
1552271_at	5.452861697
1552272_a_at	5.30329464
1552274_at	6.683054755
1552275_s_at	5.901356293
1552276_a_at	5.177694243
1552277_a_at	6.239045112
1552278_a_at	4.509286291
1552279_a_at	6.636629418
1552280_at	3.849262828
1552281_at	8.950114773
1552283_s_at	2.996839982
1552286_at	4.959762989
1552287_s_at	5.824216563
1552288_at	3.68145824
1552289_a_at	3.999709488
1552291_at	6.169227852
1552293_at	4.406634494
1552295_a_at	5.666172313
1552296_at	6.287243912
1552299_at	4.569178904
1552301_a_at	4.402721698
1552302_at	3.75031046
1552303_a_at	5.14998694
1552304_at	3.633015385
1552306_at	4.624722148
1552307_a_at	4.752261113
1552309_a_at	5.577016694
1552310_at	7.036317337
1552311_a_at	6.741180617
1552312_a_at	7.095996334
1552314_a_at	3.829132757
1552315_at	6.167220186
1552316_a_at	5.827625241
1552318_at	5.740262923
1552319_a_at	3.733419819
1552320_a_at	3.219333526
1552321_a_at	2.877412853
1552322_at	2.957233371
1552323_s_at	3.505425
1552325_at	2.803579221
1552326_a_at	4.098496298
1552327_at	3.040458641
1552329_at	4.437787484
1552330_at	6.261226949
1552332_at	6.542871682
1552334_at	5.148686739
1552335_at	4.933560534
1552337_s_at	4.065987393
1552338_at	3.92464434
1552340_at	4.854212553
1552343_s_at	3.691371896
1552344_s_at	6.511408684
1552347_at	6.868416828
1552348_at	5.117259089
1552349_a_at	4.174750245
1552354_at	4.441937862
1552355_s_at	4.534539151
1552359_at	3.0662795
1552360_a_at	6.255100375
1552362_a_at	6.50935474
1552364_s_at	4.354224283
1552365_at	9.150457775
1552367_a_at	8.192553615
1552368_at	3.099460122
1552370_at	8.20413669
1552372_at	2.733871518
1552373_s_at	2.918159444
1552375_at	3.480949737
1552377_s_at	6.05361686
1552378_s_at	6.48214967
1552379_at	2.770686742
1552381_at	2.876346992
1552383_at	6.746816259
1552384_a_at	4.410811493
1552386_at	4.919657613
1552388_at	6.351856662
1552389_at	3.749636537
1552390_a_at	3.97825696
1552391_at	3.335352675
1552393_at	3.028105882
1552394_a_at	3.059432673
1552395_at	6.553720398
1552396_at	3.901878605
1552398_a_at	3.555366923
1552399_a_at	3.268179315
1552400_a_at	3.579318543
1552401_a_at	3.192325967
1552402_at	3.690454464
1552405_at	4.060576318
1552408_at	3.070625486
1552409_a_at	5.361394418
1552410_at	4.087557588
1552411_at	5.169208421
1552412_a_at	3.370656432
1552414_at	3.377445496
1552415_a_at	3.682203184
1552417_a_at	6.068887738
1552418_at	4.918262428
1552419_s_at	5.403205286
1552421_a_at	3.687102281
1552422_at	4.315181014
1552423_at	4.354078453
1552424_at	2.93024798
1552425_a_at	4.06645428
1552426_a_at	8.307478055
1552427_at	3.351640162
1552430_at	2.779325721
1552432_at	5.099782853
1552436_a_at	4.915880419
1552438_a_at	3.100384854
1552439_s_at	2.733871518
1552440_at	3.765158271
1552445_a_at	2.939012615
1552448_a_at	3.370566101
1552449_a_at	3.259398915
1552450_a_at	4.982477255
1552452_at	3.181710866
1552453_a_at	3.428210665
1552455_at	4.73045249
1552456_a_at	4.1071066
1552457_a_at	3.241258158
1552458_at	3.112906241
1552459_a_at	3.709294509
1552461_at	2.976954244
1552463_at	2.795570076
1552466_x_at	2.6023462
1552467_at	6.096590779
1552468_a_at	3.931271283
1552470_a_at	4.704269629
1552472_a_at	7.188966943
1552473_at	7.416614341
1552474_a_at	6.82350371
1552476_s_at	7.298542555
1552477_a_at	8.385197365
1552478_a_at	6.909397716
1552480_s_at	2.733729516
1552481_s_at	4.612547758
1552482_at	3.542083397
1552484_at	6.055469946
1552485_at	6.102740995
1552486_s_at	6.798188672
1552487_a_at	2.765709157
1552489_s_at	2.636399245
1552490_at	3.643920697
1552491_at	4.49396451
1552493_s_at	3.506187143
1552494_at	3.958922376
1552496_a_at	6.002527487
1552497_a_at	5.682819526
1552498_at	3.644111448
1552499_a_at	3.925752625
1552501_a_at	4.968040969
1552502_s_at	7.465329618
