ID_REF	VALUE
1007_s_at	10.49489313
1053_at	7.015878533
117_at	4.77897413
121_at	7.838480019
1255_g_at	3.142622352
1294_at	7.522720763
1316_at	4.326349942
1320_at	4.605830812
1405_i_at	6.595287786
1431_at	3.23271363
1438_at	6.584267989
1487_at	9.017056012
1494_f_at	5.323433874
1552256_a_at	7.33114228
1552257_a_at	9.478180037
1552258_at	3.943887964
1552261_at	3.979308709
1552263_at	6.051505865
1552264_a_at	7.553370807
1552266_at	3.339289588
1552269_at	3.403596263
1552271_at	5.659845722
1552272_a_at	5.636927963
1552274_at	6.436483999
1552275_s_at	5.142357402
1552276_a_at	5.304148469
1552277_a_at	6.298724301
1552278_a_at	5.041634248
1552279_a_at	6.625432209
1552280_at	3.807770594
1552281_at	9.006081542
1552283_s_at	3.549911752
1552286_at	4.770143551
1552287_s_at	6.210728383
1552288_at	3.469548452
1552289_a_at	4.140112735
1552291_at	6.082336627
1552293_at	4.37421021
1552295_a_at	5.589626206
1552296_at	7.282517538
1552299_at	4.914914391
1552301_a_at	3.95385306
1552302_at	3.683550874
1552303_a_at	5.163700105
1552304_at	3.610356134
1552306_at	3.798555172
1552307_a_at	4.513062609
1552309_a_at	5.414231873
1552310_at	6.909352237
1552311_a_at	6.966826296
1552312_a_at	6.487445147
1552314_a_at	4.032596499
1552315_at	6.114508285
1552316_a_at	4.884182447
1552318_at	5.145542515
1552319_a_at	3.59202023
1552320_a_at	3.262614693
1552321_a_at	2.858114811
1552322_at	2.746995845
1552323_s_at	3.450694046
1552325_at	2.889606511
1552326_a_at	3.895988331
1552327_at	3.388593188
1552329_at	4.284815898
1552330_at	6.19397365
1552332_at	6.737976428
1552334_at	5.257598336
1552335_at	5.026172797
1552337_s_at	4.439211654
1552338_at	3.896501206
1552340_at	5.078215738
1552343_s_at	3.738064777
1552344_s_at	6.025072885
1552347_at	6.869255957
1552348_at	5.479345521
1552349_a_at	4.233288959
1552354_at	4.25535512
1552355_s_at	4.831283196
1552359_at	2.936020905
1552360_a_at	5.789778873
1552362_a_at	6.05357711
1552364_s_at	4.185458613
1552365_at	9.021402174
1552367_a_at	8.346115681
1552368_at	3.422478546
1552370_at	7.739558437
1552372_at	2.797106007
1552373_s_at	2.988319197
1552375_at	3.330944769
1552377_s_at	6.102010922
1552378_s_at	6.318526865
1552379_at	2.717018499
1552381_at	2.783218069
1552383_at	6.808374133
1552384_a_at	4.454536792
1552386_at	4.584101903
1552388_at	6.29510111
1552389_at	3.299941305
1552390_a_at	3.625324719
1552391_at	3.11616189
1552393_at	3.033986757
1552394_a_at	3.030079189
1552395_at	6.642396894
1552396_at	3.859013099
1552398_a_at	3.504713313
1552399_a_at	3.573766508
1552400_a_at	3.952395341
1552401_a_at	3.260399622
1552402_at	3.673692729
1552405_at	4.269582108
1552408_at	3.273271876
1552409_a_at	5.557959086
1552410_at	4.276853752
1552411_at	5.473637774
1552412_a_at	3.785191371
1552414_at	3.568764742
1552415_a_at	3.64472453
1552417_a_at	5.425009471
1552418_at	5.386162468
1552419_s_at	5.489317571
1552421_a_at	3.619408931
1552422_at	4.751097842
1552423_at	4.540110684
1552424_at	3.202378359
1552425_a_at	4.133336964
1552426_a_at	8.145962141
1552427_at	3.446492667
1552430_at	2.735637827
1552432_at	5.011940612
1552436_a_at	5.498364132
1552438_a_at	3.184292639
1552439_s_at	2.928176898
1552440_at	3.392541312
1552445_a_at	2.958619681
1552448_a_at	3.136338008
1552449_a_at	3.171809755
1552450_a_at	5.174072834
1552452_at	3.325531883
1552453_a_at	3.495344358
1552455_at	5.135789339
1552456_a_at	4.158060178
1552457_a_at	3.070328832
1552458_at	3.337286134
1552459_a_at	3.679804439
1552461_at	3.038776442
1552463_at	2.939867975
1552466_x_at	2.739752393
1552467_at	6.331378445
1552468_a_at	3.855994206
1552470_a_at	4.955033679
1552472_a_at	7.263534343
1552473_at	7.673104847
1552474_a_at	6.597145499
1552476_s_at	7.15220125
1552477_a_at	8.680636975
1552478_a_at	6.552624036
1552480_s_at	2.739752393
1552481_s_at	3.894979732
1552482_at	3.560340265
1552484_at	5.98226898
1552485_at	5.97588374
1552486_s_at	6.5060711
1552487_a_at	2.988111435
1552489_s_at	2.640678916
1552490_at	3.808082428
1552491_at	4.128992802
1552493_s_at	3.512271088
1552494_at	4.12168071
1552496_a_at	5.942179485
1552497_a_at	5.531722144
1552498_at	3.744217801
1552499_a_at	4.07016215
1552501_a_at	5.05824776
1552502_s_at	6.965130735
1552503_at	4.459621626
1552504_a_at	6.129675541
1552506_at	3.740345587
1552507_at	4.004265224
1552508_at	3.70634243
1552509_a_at	3.022059234
1552510_at	7.750065259
1552511_a_at	4.613667385
1552514_at	3.000262713
1552515_at	3.386118527
1552516_a_at	5.475372288
1552518_s_at	3.54565386
1552519_at	8.666650711
1552520_at	3.359550413
1552521_a_at	3.106539369
1552522_at	2.739752393
1552523_a_at	3.148065623
1552524_at	5.992985596
1552526_at	3.533180399
1552528_at	6.37214466
1552531_a_at	3.943622991
1552532_a_at	3.264809639
1552535_at	4.824497636
1552536_at	4.818238518
1552538_a_at	2.832173041
1552540_s_at	4.843440674
1552541_at	6.344943674
1552542_s_at	3.702165174
1552543_a_at	3.906634745
1552544_at	3.24336316
1552546_a_at	3.582514597
1552548_at	3.333214656
1552549_a_at	5.394774757
1552552_s_at	3.628701807
1552553_a_at	4.060954286
1552554_a_at	3.468058824
1552555_at	5.933454773
1552557_a_at	2.783218069
1552558_a_at	5.763969701
1552559_a_at	5.261903665
1552562_at	3.533020688
1552563_a_at	3.513521735
1552564_at	2.980473851
1552566_at	3.863370186
1552568_at	4.108791375
1552569_a_at	3.639189423
1552570_at	3.857770901
1552572_a_at	2.887719873
1552573_s_at	3.285274891
1552575_a_at	4.964917776
1552576_at	3.877695734
1552578_a_at	3.02872554
1552579_a_at	3.280045478
1552580_at	4.537376605
1552582_at	4.552904963
1552583_s_at	6.292615501
1552584_at	5.65575483
1552585_s_at	2.946713205
1552586_at	4.893265727
1552587_at	3.054770496
1552588_a_at	2.940054203
1552590_a_at	2.939867975
1552592_at	2.970014931
1552594_at	5.439786329
1552596_at	5.751225494
1552598_at	4.473647144
1552599_at	2.997899268
1552602_at	4.521935595
1552604_at	3.988241562
1552605_s_at	3.164573838
1552607_at	4.244016779
1552608_at	4.114000214
1552609_s_at	4.153661424
1552610_a_at	8.38969729
1552611_a_at	6.805167638
1552612_at	8.61771274
1552613_s_at	8.171245486
1552615_at	7.468293839
1552616_a_at	4.762814088
1552617_a_at	8.567887751
1552618_at	6.561508362
1552619_a_at	5.868448423
1552620_at	6.683025027
1552621_at	6.459557157
1552622_s_at	5.29802899
1552623_at	5.791050368
1552625_a_at	5.82386842
1552626_a_at	4.188397159
1552627_a_at	6.452845111
1552628_a_at	8.325435459
1552629_a_at	3.395448064
1552630_a_at	4.626222598
1552631_a_at	4.974496056
1552632_a_at	4.091031915
1552633_at	5.053800549
1552634_a_at	5.401959039
1552637_at	3.084322413
1552639_at	5.096822901
1552641_s_at	5.698152671
1552643_at	4.271330938
1552644_a_at	3.981160697
1552646_at	4.934782796
1552648_a_at	5.949173481
1552649_a_at	4.711312152
1552651_a_at	6.527983926
1552652_at	6.109673357
1552656_s_at	5.819509781
1552657_a_at	4.880367292
1552658_a_at	3.243199625
1552660_a_at	6.626825408
1552661_at	2.496764706
1552662_a_at	3.90612986
1552663_a_at	5.841314726
1552664_at	5.827497526
1552665_at	4.535436245
1552666_a_at	2.941299989
1552667_a_at	4.766111016
1552669_at	4.031737024
1552670_a_at	6.17818996
1552671_a_at	4.359430216
1552672_a_at	4.534900731
1552673_at	4.081311221
1552674_at	2.637597387
1552675_at	2.740287418
1552676_at	4.854925357
1552677_a_at	5.398121791
1552678_a_at	5.525533323
1552680_a_at	3.362693018
1552682_a_at	3.905241999
1552684_a_at	4.439528126
1552685_a_at	3.779496626
1552686_at	4.160726375
1552687_a_at	3.631737628
1552689_at	5.862642105
1552690_a_at	4.498268562
1552691_at	3.146372316
1552693_at	2.985244126
1552694_at	4.084674488
1552695_a_at	6.236170291
1552696_at	4.347266274
1552698_at	5.426307322
1552701_a_at	8.63256252
1552703_s_at	8.046647511
1552705_at	3.304918559
1552708_a_at	2.765893862
1552711_a_at	6.741242455
1552712_a_at	5.130043658
1552713_a_at	3.202602409
1552714_at	3.162876868
1552715_a_at	3.173629513
1552716_at	4.381482069
1552717_s_at	3.938734014
1552718_at	4.386892184
1552719_at	3.913473467
1552721_a_at	2.769672439
1552722_at	2.693577342
1552724_at	4.58738082
1552725_s_at	3.974805267
1552726_at	3.892360531
1552727_s_at	3.73212444
1552729_at	4.572373065
1552730_at	3.86997396
1552731_at	3.358630052
1552732_at	2.715261479
1552733_at	4.400235232
1552734_at	3.06917469
1552735_at	3.312715347
1552736_a_at	3.166894529
1552737_s_at	4.99883113
1552738_a_at	3.692237059
1552739_s_at	5.223579242
1552740_at	4.102583452
1552742_at	3.656272659
1552743_at	3.320430517
1552745_at	3.135230191
1552747_a_at	2.778251499
1552749_a_at	7.278330953
1552750_at	2.980471228
1552751_a_at	4.972354703
1552752_a_at	3.463522234
1552754_a_at	2.846960135
1552755_at	3.988191091
1552757_s_at	3.477116612
1552758_at	3.185585475
1552760_at	3.107809689
1552761_at	5.487613753
1552763_at	2.716310984
1552765_x_at	2.767861464
1552766_at	3.289879905
1552767_a_at	4.607325383
1552768_at	5.600356363
1552769_at	4.115480712
1552770_s_at	3.726877058
1552771_a_at	3.271299901
1552772_at	3.870908746
1552773_at	3.205626629
1552774_a_at	3.188840433
