ID_REF	VALUE
1007_s_at	9.834260642
1053_at	7.295667803
117_at	5.301639778
121_at	7.739458629
1255_g_at	3.213403244
1294_at	7.854756589
1316_at	4.083151042
1320_at	4.654403203
1405_i_at	7.959115295
1431_at	3.068240072
1438_at	6.735344396
1487_at	8.270972287
1494_f_at	5.448179247
1552256_a_at	7.389055669
1552257_a_at	9.501103911
1552258_at	4.026817069
1552261_at	4.16233145
1552263_at	6.849827111
1552264_a_at	7.755342318
1552266_at	3.580962351
1552269_at	3.417530631
1552271_at	5.801846472
1552272_a_at	5.655688368
1552274_at	6.414638973
1552275_s_at	5.666442281
1552276_a_at	5.509365457
1552277_a_at	7.238351555
1552278_a_at	4.545560738
1552279_a_at	5.96993972
1552280_at	4.251369824
1552281_at	8.001602051
1552283_s_at	3.263382282
1552286_at	4.84781181
1552287_s_at	6.027847887
1552288_at	3.675590568
1552289_a_at	4.262281648
1552291_at	6.033677593
1552293_at	4.273416061
1552295_a_at	6.050319504
1552296_at	5.825132273
1552299_at	4.946509198
1552301_a_at	4.25840114
1552302_at	3.94385319
1552303_a_at	5.590916456
1552304_at	3.620060796
1552306_at	4.140855045
1552307_a_at	5.249174061
1552309_a_at	6.633809903
1552310_at	6.477658638
1552311_a_at	6.879694819
1552312_a_at	7.237064594
1552314_a_at	3.972657412
1552315_at	6.807739728
1552316_a_at	6.903519843
1552318_at	6.72340256
1552319_a_at	3.785618442
1552320_a_at	3.328885194
1552321_a_at	2.873959749
1552322_at	2.943362522
1552323_s_at	3.925645602
1552325_at	2.857031293
1552326_a_at	4.253872541
1552327_at	3.36236846
1552329_at	4.975483229
1552330_at	6.178266008
1552332_at	6.698852457
1552334_at	5.116709687
1552335_at	5.019125643
1552337_s_at	4.174339293
1552338_at	4.274744729
1552340_at	5.129383655
1552343_s_at	3.877141293
1552344_s_at	5.932936649
1552347_at	6.405774842
1552348_at	5.333210349
1552349_a_at	4.050376395
1552354_at	4.298077919
1552355_s_at	4.550986788
1552359_at	2.855578146
1552360_a_at	5.769934914
1552362_a_at	5.140492491
1552364_s_at	5.299879802
1552365_at	7.152778616
1552367_a_at	6.353476057
1552368_at	3.202529562
1552370_at	7.609845806
1552372_at	2.593561456
1552373_s_at	2.780214329
1552375_at	3.292457532
1552377_s_at	6.202209477
1552378_s_at	6.323322273
1552379_at	2.569032014
1552381_at	3.043330624
1552383_at	6.654830922
1552384_a_at	4.534696373
1552386_at	4.849032087
1552388_at	6.223007005
1552389_at	3.270885464
1552390_a_at	3.744600516
1552391_at	3.480713079
1552393_at	2.882607711
1552394_a_at	2.859143684
1552395_at	6.606123342
1552396_at	3.510643041
1552398_a_at	4.397967268
1552399_a_at	3.422562063
1552400_a_at	3.952395341
1552401_a_at	3.137122506
1552402_at	3.855125333
1552405_at	3.955121818
1552408_at	3.120593207
1552409_a_at	5.50430817
1552410_at	4.225648056
1552411_at	5.42977161
1552412_a_at	3.686369495
1552414_at	3.412998656
1552415_a_at	3.670375844
1552417_a_at	6.11396768
1552418_at	4.995343254
1552419_s_at	5.35398043
1552421_a_at	3.602193736
1552422_at	4.489563263
1552423_at	4.469970411
1552424_at	3.096514845
1552425_a_at	3.985513295
1552426_a_at	8.227221877
1552427_at	3.221301909
1552430_at	2.750662379
1552432_at	5.175832677
1552436_a_at	4.866100611
1552438_a_at	3.034261973
1552439_s_at	2.744230652
1552440_at	3.494363593
1552445_a_at	3.182472384
1552448_a_at	3.124029871
1552449_a_at	3.294269017
1552450_a_at	4.862392503
1552452_at	3.409642003
1552453_a_at	3.409695414
1552455_at	4.308396451
1552456_a_at	4.101412561
1552457_a_at	3.310997231
1552458_at	3.127581593
1552459_a_at	3.587148005
1552461_at	3.362469299
1552463_at	2.955052837
1552466_x_at	2.867427621
1552467_at	6.314469247
1552468_a_at	4.078749775
1552470_a_at	4.762528405
1552472_a_at	6.508279449
1552473_at	7.775351385
1552474_a_at	6.688672339
1552476_s_at	6.907435452
1552477_a_at	8.223663526
1552478_a_at	6.259494461
1552480_s_at	2.631274175
1552481_s_at	4.285683445
1552482_at	3.202297534
1552484_at	6.279872551
1552485_at	5.858684114
1552486_s_at	6.501073227
1552487_a_at	2.986654814
1552489_s_at	2.775979678
1552490_at	3.702538722
1552491_at	4.387334589
1552493_s_at	3.466416155
1552494_at	3.881988118
1552496_a_at	4.929714989
1552497_a_at	6.145132912
1552498_at	3.624750309
1552499_a_at	3.691623285
1552501_a_at	4.92498617
1552502_s_at	7.428836799
1552503_at	4.550986788
1552504_a_at	6.11614915
1552506_at	3.454152322
1552507_at	4.020926516
1552508_at	4.204197855
1552509_a_at	3.323376459
1552510_at	7.526197503
1552511_a_at	3.275681205
1552514_at	3.127269457
1552515_at	3.299741656
1552516_a_at	5.002310306
1552518_s_at	3.494363593
1552519_at	6.194403281
1552520_at	3.449496523
1552521_a_at	2.863164791
1552522_at	2.719894094
1552523_a_at	3.508191301
1552524_at	5.91005086
1552526_at	3.638637014
1552528_at	6.395481916
1552531_a_at	3.834633048
1552532_a_at	3.076244555
1552535_at	4.703037286
1552536_at	3.84098532
1552538_a_at	2.862535957
1552540_s_at	4.631588375
1552541_at	6.209314518
1552542_s_at	4.196581051
1552543_a_at	3.6293728
1552544_at	3.401663296
1552546_a_at	3.286532343
1552548_at	3.394468323
1552549_a_at	5.118327927
1552552_s_at	3.189151161
1552553_a_at	4.563376956
1552554_a_at	3.54224654
1552555_at	5.781165458
1552557_a_at	3.086136636
1552558_a_at	5.774051631
1552559_a_at	5.013467312
1552562_at	3.656555645
1552563_a_at	3.377193394
1552564_at	3.12447098
1552566_at	3.643410415
1552568_at	3.751885009
1552569_a_at	3.674752664
1552570_at	3.718054118
1552572_a_at	2.69108127
1552573_s_at	3.576219739
1552575_a_at	4.84666252
1552576_at	4.279315542
1552578_a_at	3.12447098
1552579_a_at	3.274254415
1552580_at	4.338432892
1552582_at	3.592919295
1552583_s_at	5.970314191
1552584_at	6.780223418
1552585_s_at	2.817969399
1552586_at	4.363916822
1552587_at	2.926514095
1552588_a_at	3.092570375
1552590_a_at	3.277028495
1552592_at	2.991651913
1552594_at	5.379726236
1552596_at	6.033755735
1552598_at	4.097043531
1552599_at	3.044084615
1552602_at	4.422436564
1552604_at	3.94841098
1552605_s_at	3.12447098
1552607_at	4.078782335
1552608_at	4.061023771
1552609_s_at	4.093972133
1552610_a_at	8.986000964
1552611_a_at	7.158072167
1552612_at	8.684092393
1552613_s_at	8.490187054
1552615_at	7.311788053
1552616_a_at	4.722080887
1552617_a_at	8.352522709
1552618_at	6.997396022
