ID_REF	VALUE
1007_s_at	9.656623282
1053_at	7.290297634
117_at	4.87371881
121_at	7.402070975
1255_g_at	3.020849191
1294_at	7.974207296
1316_at	4.40542004
1320_at	4.538564322
1405_i_at	8.778304095
1431_at	3.303335996
1438_at	6.589235086
1487_at	7.978600215
1494_f_at	5.237148441
1552256_a_at	7.788014727
1552257_a_at	8.610598422
1552258_at	3.883856013
1552261_at	4.287747774
1552263_at	6.836381855
1552264_a_at	7.879663083
1552266_at	3.601772704
1552269_at	3.741751795
1552271_at	5.75623881
1552272_a_at	5.239075303
1552274_at	6.836040046
1552275_s_at	6.502489913
1552276_a_at	5.527140083
1552277_a_at	7.142868118
1552278_a_at	4.525907316
1552279_a_at	5.93638378
1552280_at	7.007383304
1552281_at	7.638764453
1552283_s_at	3.319409961
1552286_at	5.523366069
1552287_s_at	6.130838441
1552288_at	3.71317061
1552289_a_at	3.914730508
1552291_at	6.106464341
1552293_at	4.117539313
1552295_a_at	6.445494231
1552296_at	6.031937807
1552299_at	4.606734021
1552301_a_at	4.597127451
1552302_at	4.669240954
1552303_a_at	5.845221235
1552304_at	4.007456565
1552306_at	4.323312225
1552307_a_at	5.391712815
1552309_a_at	7.013690038
1552310_at	6.762348095
1552311_a_at	6.756502374
1552312_a_at	7.163866274
1552314_a_at	3.701194466
1552315_at	6.965200202
1552316_a_at	7.13527414
1552318_at	7.15292835
1552319_a_at	3.750019028
1552320_a_at	3.126529024
1552321_a_at	2.733871518
1552322_at	3.078887638
1552323_s_at	3.951678017
1552325_at	2.792673217
1552326_a_at	4.041928677
1552327_at	3.367111852
1552329_at	5.050462278
1552330_at	6.143698541
1552332_at	6.538189892
1552334_at	4.989062487
1552335_at	5.066358842
1552337_s_at	4.008977115
1552338_at	3.902416775
1552340_at	4.955860509
1552343_s_at	4.553807016
1552344_s_at	6.313771241
1552347_at	7.346258295
1552348_at	5.204921364
1552349_a_at	4.196913152
1552354_at	4.364787181
1552355_s_at	4.849326928
1552359_at	2.869742174
1552360_a_at	5.692298967
1552362_a_at	5.588787844
1552364_s_at	5.360599511
1552365_at	7.447025314
1552367_a_at	6.758925099
1552368_at	3.467199766
1552370_at	6.989036997
1552372_at	2.656047651
1552373_s_at	2.702133388
1552375_at	3.349229154
1552377_s_at	6.21155251
1552378_s_at	6.290300129
1552379_at	2.733871518
1552381_at	2.88634399
1552383_at	6.524790783
1552384_a_at	3.924224015
1552386_at	5.732925263
1552388_at	6.099048001
1552389_at	3.240744189
1552390_a_at	3.573119935
1552391_at	3.14403499
1552393_at	3.03306947
1552394_a_at	3.178364787
1552395_at	6.61936755
1552396_at	3.583426851
1552398_a_at	3.954029589
1552399_a_at	3.093648609
1552400_a_at	3.749995263
1552401_a_at	3.019716809
1552402_at	3.697718633
1552405_at	3.677055391
1552408_at	3.315252626
1552409_a_at	5.80498335
1552410_at	4.211997478
1552411_at	5.36674497
1552412_a_at	3.378466444
1552414_at	3.162534818
1552415_a_at	3.791108025
1552417_a_at	6.014754493
1552418_at	4.742088524
1552419_s_at	5.328890784
1552421_a_at	3.800935988
1552422_at	5.020212949
1552423_at	4.582305818
1552424_at	3.32333458
1552425_a_at	4.086460272
1552426_a_at	8.60192945
1552427_at	3.266123712
1552430_at	2.771212847
1552432_at	5.243479391
1552436_a_at	4.896925476
1552438_a_at	3.281692569
1552439_s_at	2.707013808
1552440_at	3.799225565
1552445_a_at	3.121733135
1552448_a_at	3.240803239
1552449_a_at	3.422589441
1552450_a_at	4.635124492
1552452_at	3.367259595
1552453_a_at	3.316899497
1552455_at	4.793996042
1552456_a_at	3.802814596
1552457_a_at	3.207648825
1552458_at	3.104694783
1552459_a_at	3.423528402
1552461_at	2.730102452
1552463_at	3.013205604
1552466_x_at	2.849002213
1552467_at	6.226553992
1552468_a_at	3.919817747
1552470_a_at	3.930592518
1552472_a_at	6.508279449
1552473_at	7.343213862
1552474_a_at	6.669685852
1552476_s_at	6.723504596
1552477_a_at	7.890934544
1552478_a_at	5.931161774
1552480_s_at	3.091051287
1552481_s_at	4.489400249
1552482_at	3.29835216
1552484_at	5.976612858
1552485_at	5.618609105
1552486_s_at	6.289262649
1552487_a_at	2.96889643
1552489_s_at	2.692653905
1552490_at	3.47933629
1552491_at	4.104428884
1552493_s_at	3.824536558
1552494_at	3.998729981
1552496_a_at	4.474259667
1552497_a_at	7.45262173
1552498_at	3.632851971
1552499_a_at	3.663993863
1552501_a_at	5.056517261
1552502_s_at	7.118957431
1552503_at	4.455822414
1552504_a_at	6.065713202
1552506_at	3.393633632
1552507_at	4.219350993
1552508_at	4.293522354
1552509_a_at	3.177976903
1552510_at	7.505652588
1552511_a_at	3.665540663
1552514_at	3.270589907
1552515_at	3.333271579
1552516_a_at	5.333232226
1552518_s_at	3.520900061
1552519_at	6.339272807
1552520_at	3.102738026
1552521_a_at	3.274202192
1552522_at	2.705538062
1552523_a_at	3.391189405
1552524_at	5.819794442
1552526_at	3.877504463
1552528_at	6.29036913
1552531_a_at	3.795477132
1552532_a_at	2.782065353
1552535_at	4.89768458
1552536_at	4.388302798
1552538_a_at	2.841844863
1552540_s_at	4.631883709
1552541_at	6.010634788
1552542_s_at	4.341993551
1552543_a_at	3.735465404
1552544_at	3.469850551
1552546_a_at	3.461392071
1552548_at	3.377509848
1552549_a_at	5.109812838
1552552_s_at	3.205860909
1552553_a_at	5.119126944
1552554_a_at	3.851649449
1552555_at	5.959552029
1552557_a_at	3.087104751
1552558_a_at	5.849400996
1552559_a_at	5.149276346
1552562_at	4.036027259
1552563_a_at	3.483662973
1552564_at	3.261705326
1552566_at	3.927849052
1552568_at	3.935366455
1552569_a_at	3.799269458
1552570_at	3.807153191
1552572_a_at	2.855552236
1552573_s_at	3.348377781
1552575_a_at	4.75056843
1552576_at	4.1308907
1552578_a_at	3.02872554
1552579_a_at	3.262008566
1552580_at	4.369135336
1552582_at	3.829417442
1552583_s_at	4.588221535
1552584_at	7.656684591
1552585_s_at	3.197439505
1552586_at	4.565276964
1552587_at	2.88849732
1552588_a_at	3.107605735
1552590_a_at	2.937043698
1552592_at	2.811697982
1552594_at	5.280838584
1552596_at	5.757292624
1552598_at	4.113297141
1552599_at	3.100865239
1552602_at	4.701893818
1552604_at	3.746201989
1552605_s_at	3.143873383
1552607_at	4.123229267
1552608_at	3.769497416
1552609_s_at	3.949118777
1552610_a_at	9.247300024
1552611_a_at	7.383587741
1552612_at	8.297859435
1552613_s_at	8.103233295
1552615_at	7.292471339
1552616_a_at	4.725697335
1552617_a_at	8.235531289
1552618_at	6.879377003
1552619_a_at	6.218277258
1552620_at	6.776551551
1552621_at	7.480347355
1552622_s_at	5.692219883
1552623_at	6.65274433
1552625_a_at	6.233139897
1552626_a_at	6.21441983
1552627_a_at	6.222010734
1552628_a_at	8.795040718
1552629_a_at	3.383131961
1552630_a_at	4.591221857
1552631_a_at	5.233547597
1552632_a_at	4.384621081
1552633_at	5.094012758
1552634_a_at	5.737346443
1552637_at	3.260243876
1552639_at	5.356720521
1552641_s_at	5.83665976
1552643_at	4.470452718
1552644_a_at	4.151312872
1552646_at	4.840723191
1552648_a_at	6.075276303
1552649_a_at	4.772024875
1552651_a_at	6.610438877
1552652_at	6.181517265
1552656_s_at	5.640248489
1552657_a_at	4.346038227
1552658_a_at	3.122822716
1552660_a_at	6.867481619
1552661_at	2.595365178
1552662_a_at	3.757711856
1552663_a_at	6.1997683
1552664_at	5.10524161
1552665_at	4.380865235
1552666_a_at	3.281123193
1552667_a_at	5.654495215
1552669_at	3.596126852
1552670_a_at	5.260383126
