ID_REF	VALUE
1007_s_at	10.16986034
1053_at	7.281278693
117_at	5.367197674
121_at	7.527556466
1255_g_at	3.049471265
1294_at	7.835081943
1316_at	4.447849631
1320_at	5.058196457
1405_i_at	8.097637046
1431_at	3.273786495
1438_at	6.681401431
1487_at	8.629355996
1494_f_at	5.624060132
1552256_a_at	7.530936567
1552257_a_at	9.300731581
1552258_at	4.115504798
1552261_at	4.807984832
1552263_at	6.014008256
1552264_a_at	7.36105567
1552266_at	4.252066772
1552269_at	3.66668995
1552271_at	6.42035723
1552272_a_at	5.71350101
1552274_at	6.100532706
1552275_s_at	5.258490102
1552276_a_at	5.394244921
1552277_a_at	5.605128871
1552278_a_at	4.78354603
1552279_a_at	6.316702781
1552280_at	3.558061264
1552281_at	8.603621695
1552283_s_at	3.578991608
1552286_at	4.806417479
1552287_s_at	5.395542164
1552288_at	4.629650198
1552289_a_at	4.638591315
1552291_at	5.721996543
1552293_at	4.119350518
1552295_a_at	6.135002654
1552296_at	5.805225908
1552299_at	4.07039397
1552301_a_at	4.373951931
1552302_at	3.503124974
1552303_a_at	4.619044719
1552304_at	3.176013944
1552306_at	3.372623228
1552307_a_at	4.800503858
1552309_a_at	4.640125235
1552310_at	6.431936887
1552311_a_at	7.088892689
1552312_a_at	6.096593934
1552314_a_at	3.91257366
1552315_at	6.646599711
1552316_a_at	5.714931578
1552318_at	5.670668397
1552319_a_at	4.544495395
1552320_a_at	3.37656783
1552321_a_at	3.07208512
1552322_at	2.830019368
1552323_s_at	3.441251331
1552325_at	2.903832432
1552326_a_at	4.933747082
1552327_at	3.295434402
1552329_at	3.838649544
1552330_at	5.25872406
1552332_at	7.04251541
1552334_at	5.018856792
1552335_at	5.493964374
1552337_s_at	4.626531003
1552338_at	4.787819019
1552340_at	5.171452928
1552343_s_at	3.661453709
1552344_s_at	5.662427089
1552347_at	6.344943674
1552348_at	5.344498276
1552349_a_at	4.865665825
1552354_at	5.655359762
1552355_s_at	4.462430129
1552359_at	2.901569014
1552360_a_at	5.491912253
1552362_a_at	6.747524245
1552364_s_at	4.615184681
1552365_at	7.686529622
1552367_a_at	6.726650008
1552368_at	3.32203837
1552370_at	7.661694376
1552372_at	2.627026996
1552373_s_at	2.593828358
1552375_at	3.393820081
1552377_s_at	6.128340566
1552378_s_at	6.163783801
1552379_at	2.64772579
1552381_at	2.974631186
1552383_at	7.134986755
1552384_a_at	4.4372552
1552386_at	4.161177156
1552388_at	6.581534776
1552389_at	3.922195138
1552390_a_at	3.511225075
1552391_at	3.960623653
1552393_at	2.760693242
1552394_a_at	3.063558265
1552395_at	6.612867468
1552396_at	3.752416231
1552398_a_at	3.997273193
1552399_a_at	3.345472148
1552400_a_at	3.752416231
1552401_a_at	3.538221836
1552402_at	3.880305123
1552405_at	4.352029219
1552408_at	3.072310542
1552409_a_at	5.653502869
1552410_at	4.302258617
1552411_at	4.943954462
1552412_a_at	3.784302393
1552414_at	3.653576574
1552415_a_at	3.537806269
1552417_a_at	5.218953213
1552418_at	5.002174077
1552419_s_at	5.522946795
1552421_a_at	4.167431354
1552422_at	5.423723026
1552423_at	4.535456778
1552424_at	3.441313496
1552425_a_at	3.989329725
1552426_a_at	7.924391316
1552427_at	3.354616124
1552430_at	2.817355166
1552432_at	5.329358907
1552436_a_at	5.279240716
1552438_a_at	3.024017944
1552439_s_at	2.707105503
1552440_at	3.91880839
1552445_a_at	2.754915747
