ID_REF	VALUE
1007_s_at	9.908750963
1053_at	6.982613028
117_at	4.914125521
121_at	7.801384072
1255_g_at	3.186573798
1294_at	7.421514414
1316_at	4.591730624
1320_at	4.613141844
1405_i_at	6.888638884
1431_at	3.214862737
1438_at	6.676629989
1487_at	8.285230822
1494_f_at	5.529372945
1552256_a_at	7.916805762
1552257_a_at	9.540593294
1552258_at	4.102053929
1552261_at	3.805007111
1552263_at	6.505363132
1552264_a_at	7.670450572
1552266_at	3.578585483
1552269_at	3.536009312
1552271_at	5.814763665
1552272_a_at	5.594945667
1552274_at	6.756856325
1552275_s_at	5.47007118
1552276_a_at	5.709147522
1552277_a_at	6.843031148
1552278_a_at	4.200408634
1552279_a_at	5.727173198
1552280_at	3.272153815
1552281_at	8.044035613
1552283_s_at	3.450002095
1552286_at	4.753013565
1552287_s_at	5.822126134
1552288_at	3.654970018
1552289_a_at	3.897102703
1552291_at	6.280692662
1552293_at	4.37445568
1552295_a_at	5.94128227
1552296_at	5.627184735
1552299_at	4.44178746
1552301_a_at	4.047825778
1552302_at	4.066740021
1552303_a_at	5.305391937
1552304_at	3.936522598
1552306_at	4.195140755
1552307_a_at	4.996227467
1552309_a_at	6.676061292
1552310_at	6.415481931
1552311_a_at	6.72896896
1552312_a_at	6.865374062
1552314_a_at	3.820931625
1552315_at	6.376014521
1552316_a_at	6.521319636
1552318_at	6.490205946
1552319_a_at	3.943915685
1552320_a_at	3.09126376
1552321_a_at	2.661534389
1552322_at	2.909482057
1552323_s_at	3.819567313
1552325_at	2.766796733
1552326_a_at	4.168515704
1552327_at	3.300054243
1552329_at	4.036567484
1552330_at	5.864444266
1552332_at	6.549258966
1552334_at	5.156200841
1552335_at	4.988583003
1552337_s_at	4.224077442
1552338_at	3.972058115
1552340_at	5.040596675
1552343_s_at	3.718277891
1552344_s_at	6.020462447
1552347_at	6.423846
1552348_at	5.525879614
1552349_a_at	4.224865554
1552354_at	4.55621018
1552355_s_at	4.584369928
1552359_at	2.931989658
1552360_a_at	6.02253982
1552362_a_at	6.177655841
1552364_s_at	5.258285609
1552365_at	8.527824439
1552367_a_at	8.047311567
1552368_at	3.196767992
1552370_at	7.748082253
1552372_at	2.63797195
1552373_s_at	2.911468665
1552375_at	3.361020289
1552377_s_at	6.108974755
1552378_s_at	6.496347127
1552379_at	2.646603865
1552381_at	2.885867409
1552383_at	6.672816737
