ID_REF	VALUE
1007_s_at	9.628703276
1053_at	7.39355509
117_at	5.22169987
121_at	7.539418649
1255_g_at	2.929594878
1294_at	7.811563673
1316_at	4.223202464
1320_at	4.664539396
1405_i_at	6.709924224
1431_at	3.147111599
1438_at	7.15299982
1487_at	7.874584443
1494_f_at	5.459447123
1552256_a_at	7.352961498
1552257_a_at	8.8197967
1552258_at	4.163281779
1552261_at	4.118160435
1552263_at	6.401552868
1552264_a_at	7.755128507
1552266_at	3.859075073
1552269_at	3.681471322
1552271_at	5.719277531
1552272_a_at	5.398699555
1552274_at	6.927845043
1552275_s_at	6.002694602
1552276_a_at	5.501551691
1552277_a_at	7.135412263
1552278_a_at	4.524514908
1552279_a_at	5.916259493
1552280_at	6.74830637
1552281_at	7.490810087
1552283_s_at	3.409048971
1552286_at	5.098454338
1552287_s_at	6.123421571
1552288_at	3.939825801
1552289_a_at	4.12471561
1552291_at	5.901540185
1552293_at	4.19682299
1552295_a_at	5.992824023
1552296_at	4.209757508
1552299_at	4.481288662
1552301_a_at	4.160982627
1552302_at	4.362892484
1552303_a_at	5.907889925
1552304_at	3.646813062
1552306_at	4.571741499
1552307_a_at	5.291707319
1552309_a_at	6.160348765
1552310_at	6.504345084
1552311_a_at	6.637100715
1552312_a_at	6.875230401
1552314_a_at	4.00737887
1552315_at	6.797625774
1552316_a_at	6.633787053
1552318_at	6.614861253
1552319_a_at	3.661337072
1552320_a_at	3.165691893
1552321_a_at	3.056725356
1552322_at	2.759097597
1552323_s_at	3.747543295
1552325_at	2.901602042
1552326_a_at	4.43341516
1552327_at	3.117879801
1552329_at	5.137552218
1552330_at	5.914632046
1552332_at	6.620418251
1552334_at	5.047017753
1552335_at	4.9932348
1552337_s_at	4.160792301
1552338_at	3.951088652
1552340_at	5.005337822
1552343_s_at	4.227293989
1552344_s_at	6.569832677
1552347_at	6.729430371
1552348_at	5.290386662
1552349_a_at	4.36347955
1552354_at	4.477836298
1552355_s_at	4.576696309
1552359_at	3.024205771
1552360_a_at	5.608038814
1552362_a_at	5.651230765
1552364_s_at	5.45782814
1552365_at	6.706531338
1552367_a_at	6.185598965
1552368_at	3.181482173
1552370_at	7.109586739
1552372_at	2.682302033
1552373_s_at	2.693354001
1552375_at	3.409048971
1552377_s_at	6.203760732
1552378_s_at	6.498934638
1552379_at	2.560357256
1552381_at	2.76419757
1552383_at	6.969072473
1552384_a_at	4.240286207
1552386_at	5.352448907
1552388_at	5.611999521
1552389_at	3.019155418
1552390_a_at	3.728186591
1552391_at	3.155618394
1552393_at	2.869731593
1552394_a_at	2.854375891
1552395_at	6.720515331
1552396_at	3.824565489
1552398_a_at	4.30177718
1552399_a_at	3.683827615
1552400_a_at	4.059336557
1552401_a_at	3.288289989
1552402_at	3.744670952
1552405_at	3.646452446
1552408_at	3.277547447
1552409_a_at	5.349188369
1552410_at	4.134865128
1552411_at	5.006901311
1552412_a_at	3.524473395
1552414_at	3.462221816
1552415_a_at	3.539793448
1552417_a_at	6.264842368
1552418_at	4.924753156
1552419_s_at	5.2051348
1552421_a_at	3.911714467
1552422_at	4.824546722
1552423_at	4.769295534
1552424_at	3.444456137
1552425_a_at	3.749615001
1552426_a_at	8.216831213
1552427_at	3.277295295
1552430_at	2.865937445
1552432_at	5.332389966
1552436_a_at	4.908852233
1552438_a_at	3.101936308
1552439_s_at	2.574338972
1552440_at	3.581291868
1552445_a_at	3.077582734
1552448_a_at	3.255912887
1552449_a_at	2.992211138
1552450_a_at	4.848175067
1552452_at	3.500297348
1552453_a_at	3.208727047
1552455_at	4.327573647
1552456_a_at	3.990362622
1552457_a_at	3.416441905
1552458_at	3.014644116
1552459_a_at	3.717122525
1552461_at	2.901602042
1552463_at	3.013205604
1552466_x_at	2.604814035
1552467_at	6.274960499
1552468_a_at	3.857094477
1552470_a_at	4.99408713
1552472_a_at	6.508279449
1552473_at	7.711663916
1552474_a_at	6.774274963
1552476_s_at	6.32257721
1552477_a_at	7.899995109
1552478_a_at	6.165625071
1552480_s_at	2.675058908
1552481_s_at	3.965892321
1552482_at	3.343085113
1552484_at	6.173641657
1552485_at	5.570894225
1552486_s_at	6.625150311
1552487_a_at	2.813695354
1552489_s_at	2.776367953
1552490_at	3.491706826
1552491_at	4.194687532
1552493_s_at	3.698089032
1552494_at	4.175073538
1552496_a_at	4.491696738
1552497_a_at	6.610376501
1552498_at	3.966046685
1552499_a_at	3.541817493
1552501_a_at	5.14211473
1552502_s_at	7.208204337
1552503_at	4.55995742
1552504_a_at	5.518268491
1552506_at	3.656531393
1552507_at	4.312114718
1552508_at	4.258094741
1552509_a_at	3.203384646
1552510_at	7.520204086
1552511_a_at	3.763022786
1552514_at	2.990014113
1552515_at	3.342819969
1552516_a_at	5.519636456
1552518_s_at	3.54735802
1552519_at	6.702890967
1552520_at	3.058389381
1552521_a_at	2.946631655
1552522_at	2.551293553
1552523_a_at	3.356716554
1552524_at	5.696230572
1552526_at	3.917120926
1552528_at	6.241639022
1552531_a_at	4.215042105
1552532_a_at	3.010846198
1552535_at	4.807213549
1552536_at	4.027259225
1552538_a_at	2.828722759
1552540_s_at	4.586167092
1552541_at	5.917952433
1552542_s_at	4.383222049
1552543_a_at	3.477740675
1552544_at	3.406763704
1552546_a_at	3.354511516
1552548_at	3.191529455
1552549_a_at	5.128247694
1552552_s_at	3.443146112
1552553_a_at	4.464577248
1552554_a_at	3.584958304
1552555_at	5.238366128
1552557_a_at	2.924799691
1552558_a_at	5.760424672
1552559_a_at	5.030479611
1552562_at	3.959497349
1552563_a_at	3.240784354
1552564_at	3.203114717
1552566_at	3.772119235
1552568_at	3.459929743
1552569_a_at	3.474590193
1552570_at	3.572941473
1552572_a_at	2.775445825
1552573_s_at	3.512975069
1552575_a_at	4.550288477
1552576_at	4.297393446
1552578_a_at	3.083316875
1552579_a_at	3.368089942
1552580_at	4.502304143
1552582_at	3.102126304
1552583_s_at	5.033072126
1552584_at	7.496521617
1552585_s_at	3.182297261
1552586_at	4.705975774
1552587_at	3.162188874
1552588_a_at	3.126489365
1552590_a_at	3.0966524
1552592_at	2.887752895
1552594_at	5.673587107
1552596_at	5.912607685
1552598_at	4.203949733
1552599_at	3.034261973
1552602_at	4.261074271
1552604_at	4.031102761
1552605_s_at	3.044059011
1552607_at	4.296099455
1552608_at	3.847102518
1552609_s_at	4.110822394
1552610_a_at	9.251445327
1552611_a_at	7.185573006
1552612_at	8.608959603
1552613_s_at	8.34553739
1552615_at	7.245536391
1552616_a_at	4.74091053
1552617_a_at	8.110317424
1552618_at	6.933847041
1552619_a_at	6.68123666
1552620_at	6.901251726
1552621_at	6.879003701
1552622_s_at	5.620049405
1552623_at	6.327342927
1552625_a_at	6.276589825
1552626_a_at	6.720633495
1552627_a_at	6.329121369
1552628_a_at	8.470726865
1552629_a_at	3.353470334
1552630_a_at	4.431073912
1552631_a_at	5.392024637
1552632_a_at	4.459731765
1552633_at	4.931791051
1552634_a_at	5.73564131
1552637_at	2.965530635
1552639_at	5.859314975
1552641_s_at	6.08938799
1552643_at	4.752580554
1552644_a_at	4.14674566
1552646_at	4.522289165
1552648_a_at	6.326827288
1552649_a_at	4.668596017
1552651_a_at	6.179871867
1552652_at	6.240178872
1552656_s_at	5.9342621
1552657_a_at	4.407553923
1552658_a_at	3.054352337
1552660_a_at	7.092494852
1552661_at	2.583479272
1552662_a_at	3.738984148
1552663_a_at	6.322737804
1552664_at	5.450972641
1552665_at	4.473131961
1552666_a_at	2.870245116
1552667_a_at	5.452861697
1552669_at	3.794916788
1552670_a_at	5.274912404
1552671_a_at	4.118235044
1552672_a_at	4.522289165
1552673_at	4.1480043
1552674_at	2.825792673
1552675_at	2.581883543
1552676_at	4.576829819
1552677_a_at	5.102223523
1552678_a_at	5.714159564
1552680_a_at	3.774913414
1552682_a_at	4.095399532
1552684_a_at	4.315114861
1552685_a_at	4.045483535
1552686_at	4.155555506
1552687_a_at	3.586151145
1552689_at	5.336522093
1552690_a_at	4.195464165
1552691_at	3.997162573
1552693_at	3.012816842
1552694_at	3.871095088
1552695_a_at	6.01873087
1552696_at	4.509257553
1552698_at	5.272329778
1552701_a_at	9.518147887
1552703_s_at	9.33605543
1552705_at	3.112660761
1552708_a_at	2.773701895
1552711_a_at	6.771663718
1552712_a_at	4.387658794
1552713_a_at	3.282664323
1552714_at	2.978073225
1552715_a_at	3.064119936
1552716_at	4.658287197
1552717_s_at	4.239151623
1552718_at	4.114729673
1552719_at	4.644536901
1552721_a_at	3.028858005
1552722_at	2.75950995
1552724_at	4.628444987
1552725_s_at	4.110757255
1552726_at	3.554974637
1552727_s_at	3.510271279
1552729_at	4.756243926
1552730_at	3.80468367
1552731_at	3.202520836
1552732_at	2.650933907
1552733_at	4.818240534
1552734_at	3.076240584
1552735_at	3.146714154
1552736_a_at	3.165665198
1552737_s_at	4.581743933
1552738_a_at	3.740745182
1552739_s_at	5.598095827
1552740_at	3.763089673
1552742_at	3.390980172
1552743_at	3.324297677
1552745_at	3.050445383
1552747_a_at	2.77993166
1552749_a_at	7.130226441
1552750_at	2.758039511
1552751_a_at	4.941621954
1552752_a_at	3.17633224
1552754_a_at	2.821271253
1552755_at	3.956576664
1552757_s_at	3.32328622
1552758_at	3.185585475
1552760_at	3.288038459
1552761_at	5.61389388
1552763_at	2.679183481
1552765_x_at	3.23561312
1552766_at	3.194407779
1552767_a_at	4.939768233
1552768_at	5.370372596
1552769_at	4.042014505
1552770_s_at	3.700300316
1552771_a_at	3.513040652
1552772_at	3.756978707
1552773_at	3.56139511
1552774_a_at	3.378242754
1552775_at	4.131928607
1552777_a_at	3.755348517
1552779_a_at	3.580054114
1552782_at	3.046468962
1552783_at	2.691155677
1552785_at	3.111490205
1552787_at	4.198519562
1552788_a_at	5.124866697
1552789_at	5.401586333
1552790_a_at	7.678948549
1552791_a_at	2.738238385
1552792_at	3.593837124
1552793_at	3.671403019
1552794_a_at	2.995704141
1552796_a_at	3.36617725
1552797_s_at	7.379127089
1552798_a_at	6.254999605
1552799_at	3.804469708
1552800_at	6.435973834
1552801_at	3.711130781
1552803_a_at	3.499816756
1552804_a_at	4.961749997
1552806_a_at	4.712712711
1552807_a_at	7.576909452
1552808_at	2.851329587
1552809_at	3.036584602
1552811_at	5.714015978
1552812_a_at	5.689067151
1552813_at	4.765176689
1552814_a_at	3.949756563
1552816_at	2.901602042
1552818_a_at	3.065329031
1552819_at	3.657144015
1552822_at	2.876790309
1552825_at	3.389170048
1552826_at	2.688352114
1552827_s_at	3.230727019
1552828_at	4.461818529
1552829_at	3.961730743
1552830_at	3.912797967
1552833_at	7.169208416
1552834_at	8.45739643
1552835_at	2.873697027
1552836_at	5.138899801
1552837_at	2.560357256
1552839_at	2.964600307
1552841_s_at	3.126863693
1552842_at	4.427580189
1552843_at	3.513225434
1552845_at	4.270329423
