ID_REF	VALUE
1007_s_at	7.838135483
1053_at	7.604655823
117_at	5.812176003
121_at	6.759560254
1255_g_at	2.929607684
1294_at	8.106241098
1316_at	4.155754185
1320_at	4.187267987
1405_i_at	10.61956321
1431_at	3.209574222
1438_at	5.23782867
1487_at	7.278073223
1494_f_at	4.920265614
1552256_a_at	7.680323293
1552257_a_at	7.934631106
1552258_at	4.222498549
1552261_at	4.127824526
1552263_at	7.242482658
1552264_a_at	7.910531188
1552266_at	3.42017005
1552269_at	3.206245879
1552271_at	5.465956114
1552272_a_at	5.472613694
1552274_at	6.998471608
1552275_s_at	7.286468788
1552276_a_at	5.337476724
1552277_a_at	7.792347027
1552278_a_at	4.510051112
1552279_a_at	5.655587167
1552280_at	5.487090635
1552281_at	5.096905941
1552283_s_at	3.482607481
1552286_at	5.047099641
1552287_s_at	7.306277119
1552288_at	3.448919972
1552289_a_at	3.945626869
1552291_at	5.751899604
1552293_at	4.317736276
1552295_a_at	6.831348427
1552296_at	4.008017003
1552299_at	4.670350214
1552301_a_at	4.046151885
1552302_at	5.067155433
1552303_a_at	5.480076643
1552304_at	3.633015385
1552306_at	4.080398879
1552307_a_at	6.630420111
1552309_a_at	7.459261223
1552310_at	6.837267302
1552311_a_at	6.638879315
1552312_a_at	6.628118423
1552314_a_at	3.861576703
1552315_at	7.846595891
1552316_a_at	8.4183845
1552318_at	8.699577704
1552319_a_at	3.388535486
1552320_a_at	3.378453329
1552321_a_at	3.019803324
1552322_at	2.629904778
1552323_s_at	4.480700296
1552325_at	2.95119932
1552326_a_at	4.365279619
1552327_at	3.380192252
1552329_at	5.462793751
1552330_at	6.559550612
1552332_at	6.486104209
1552334_at	5.629429804
1552335_at	4.808391194
1552337_s_at	4.588592298
1552338_at	3.618253251
1552340_at	5.119532645
1552343_s_at	5.989087897
1552344_s_at	5.978785571
1552347_at	8.262317671
1552348_at	4.807993199
1552349_a_at	3.910019725
1552354_at	4.014800165
1552355_s_at	4.125883035
1552359_at	2.867361156
1552360_a_at	5.791603885
1552362_a_at	6.224177634
1552364_s_at	5.284313991
1552365_at	3.011717279
1552367_a_at	3.682279718
1552368_at	3.308432925
1552370_at	5.913227527
1552372_at	2.689717783
1552373_s_at	2.617916834
1552375_at	3.76151424
1552377_s_at	5.877248417
1552378_s_at	6.277388144
1552379_at	2.790793031
1552381_at	3.21063868
1552383_at	6.913371237
1552384_a_at	4.174122231
1552386_at	6.780422161
1552388_at	5.430513757
1552389_at	3.142917854
1552390_a_at	2.945932748
1552391_at	3.188931888
1552393_at	2.96793729
1552394_a_at	3.469565422
1552395_at	6.148339548
1552396_at	3.486743942
1552398_a_at	4.819663734
1552399_a_at	3.258608684
1552400_a_at	3.637613866
1552401_a_at	3.375950183
1552402_at	3.684705661
1552405_at	4.020083756
1552408_at	3.206138183
1552409_a_at	5.140179215
1552410_at	4.059055758
1552411_at	4.774837635
1552412_a_at	3.334534365
1552414_at	3.412998656
1552415_a_at	3.382375612
1552417_a_at	6.331016944
1552418_at	4.762560753
1552419_s_at	5.00364126
1552421_a_at	3.688624738
1552422_at	4.537101733
1552423_at	4.542215992
1552424_at	3.29443171
1552425_a_at	4.069504157
1552426_a_at	8.495009246
1552427_at	3.355580357
1552430_at	2.649641224
1552432_at	4.733488345
1552436_a_at	4.750057015
1552438_a_at	2.899647767
1552439_s_at	2.744230652
1552440_at	3.391475771
1552445_a_at	3.071841999
1552448_a_at	2.889196047
1552449_a_at	3.211724139
1552450_a_at	4.489460461
1552452_at	3.241416948
1552453_a_at	3.367242905
1552455_at	4.68308773
1552456_a_at	4.085242333
1552457_a_at	3.280166487
1552458_at	2.867803911
1552459_a_at	3.381547612
1552461_at	3.091894658
1552463_at	3.277014506
1552466_x_at	2.573453451
1552467_at	5.831425364
1552468_a_at	3.412673813
1552470_a_at	3.669529996
1552472_a_at	6.022750087
1552473_at	7.33271368
1552474_a_at	6.480360852
1552476_s_at	5.459818861
1552477_a_at	5.300921068
1552478_a_at	4.200648254
1552480_s_at	2.949686867
1552481_s_at	3.629212436
1552482_at	3.239646882
1552484_at	5.428372238
1552485_at	5.892071878
1552486_s_at	6.50367637
1552487_a_at	2.955060711
1552489_s_at	2.815556119
1552490_at	3.332553701
1552491_at	4.123036268
1552493_s_at	3.437177329
1552494_at	4.027179862
1552496_a_at	3.756283441
1552497_a_at	8.654153027
1552498_at	3.486498031
1552499_a_at	3.414571312
1552501_a_at	4.807367802
1552502_s_at	3.457773951
1552503_at	4.064526725
1552504_a_at	5.601043072
1552506_at	3.342930018
1552507_at	4.758032238
1552508_at	4.924350542
1552509_a_at	3.100961928
1552510_at	6.97704367
1552511_a_at	2.86246906
1552514_at	3.330461247
1552515_at	3.230478744
1552516_a_at	4.254818397
1552518_s_at	3.642112743
1552519_at	4.407770186
1552520_at	3.269439244
1552521_a_at	2.950497143
1552522_at	2.792857652
1552523_a_at	3.449915189
1552524_at	5.389014068
1552526_at	3.881253403
1552528_at	5.920466072
1552531_a_at	3.414571312
1552532_a_at	2.972466213
1552535_at	4.438657995
1552536_at	4.187552236
1552538_a_at	3.121751107
1552540_s_at	4.531398159
1552541_at	6.051891192
1552542_s_at	5.844588929
1552543_a_at	3.394812135
1552544_at	2.865503613
1552546_a_at	3.638585028
1552548_at	3.116472064
1552549_a_at	4.551797727
1552552_s_at	3.038606392
1552553_a_at	5.285952234
1552554_a_at	3.269181174
1552555_at	5.252111208
1552557_a_at	2.953838164
1552558_a_at	5.564474129
1552559_a_at	5.141357393
1552562_at	3.795579004
1552563_a_at	3.510906001
1552564_at	3.432360151
1552566_at	3.4507658
1552568_at	3.584028549
1552569_a_at	3.229330048
1552570_at	3.49677018
1552572_a_at	2.526488843
1552573_s_at	3.44274278
1552575_a_at	4.317736276
1552576_at	3.834686946
1552578_a_at	2.947203794
1552579_a_at	3.215519121
1552580_at	4.078125749
1552582_at	3.015752295
1552583_s_at	3.584325361
1552584_at	8.584957711
1552585_s_at	2.970241313
1552586_at	4.372405517
1552587_at	3.082916492
1552588_a_at	3.088343679
1552590_a_at	2.972526296
1552592_at	2.981579909
1552594_at	5.390244202
1552596_at	5.629814982
1552598_at	3.948998256
1552599_at	2.68775771
1552602_at	4.320862924
1552604_at	3.910663946
1552605_s_at	2.933335907
1552607_at	4.56335086
1552608_at	3.951753629
1552609_s_at	3.820749912
1552610_a_at	9.796283336
1552611_a_at	6.955482437
1552612_at	8.478059499
1552613_s_at	8.257520744
1552615_at	6.919609043
1552616_a_at	4.632336275
1552617_a_at	7.826200754
1552618_at	7.152347446
1552619_a_at	5.8599015
1552620_at	6.309844602
1552621_at	7.982666122
1552622_s_at	6.787505782
1552623_at	6.978176249
1552625_a_at	6.46577714
