ID_REF	VALUE
1007_s_at	10.21163591
1053_at	6.887225896
117_at	4.520401239
121_at	7.417380383
1255_g_at	3.003704451
1294_at	7.277217255
1316_at	4.499718845
1320_at	4.840614595
1405_i_at	8.064443655
1431_at	3.089158654
1438_at	7.358836773
1487_at	8.581852453
1494_f_at	5.370574765
1552256_a_at	7.319497888
1552257_a_at	9.224861304
1552258_at	3.752936047
1552261_at	4.118160435
1552263_at	5.903041665
1552264_a_at	7.546340329
1552266_at	4.04112622
1552269_at	3.548642918
1552271_at	5.603525482
1552272_a_at	5.308756548
1552274_at	6.471213137
1552275_s_at	5.696868254
1552276_a_at	5.604340236
1552277_a_at	6.708024222
1552278_a_at	5.205848335
1552279_a_at	6.760154934
1552280_at	3.98451923
1552281_at	8.593879468
1552283_s_at	3.492710255
1552286_at	4.607568813
1552287_s_at	6.083914505
1552288_at	3.543011967
1552289_a_at	4.196790694
1552291_at	6.000939302
1552293_at	4.121749539
1552295_a_at	5.906231571
1552296_at	4.206360984
1552299_at	4.445837099
1552301_a_at	4.130403958
1552302_at	3.78642337
1552303_a_at	4.735044348
1552304_at	3.563590313
1552306_at	4.017748985
1552307_a_at	4.985644332
1552309_a_at	6.862492834
1552310_at	7.129639022
1552311_a_at	6.782859661
1552312_a_at	6.402448516
1552314_a_at	3.775313219
1552315_at	6.321711535
1552316_a_at	6.238662469
1552318_at	6.081119538
1552319_a_at	3.760817338
1552320_a_at	3.28366537
1552321_a_at	3.081770171
1552322_at	2.710247462
1552323_s_at	3.394594408
1552325_at	2.845276472
1552326_a_at	4.145221731
1552327_at	3.540603839
1552329_at	4.521668734
1552330_at	5.989947007
1552332_at	6.536644439
1552334_at	5.225232038
1552335_at	4.953304406
1552337_s_at	4.210167616
1552338_at	3.810230653
1552340_at	5.040596675
1552343_s_at	4.076699971
1552344_s_at	6.250023365
1552347_at	7.094107856
1552348_at	5.26710275
1552349_a_at	4.139459574
1552354_at	4.346716484
1552355_s_at	4.726727878
1552359_at	2.863938358
1552360_a_at	5.692449345
1552362_a_at	7.152075626
1552364_s_at	4.361857056
1552365_at	6.821047557
1552367_a_at	6.519964588
1552368_at	3.374389629
1552370_at	7.374697601
1552372_at	2.643142004
1552373_s_at	2.649641224
1552375_at	3.428634281
1552377_s_at	6.065958621
1552378_s_at	5.82266301
1552379_at	2.520419711
1552381_at	2.876346992
1552383_at	6.577060874
1552384_a_at	4.232170452
1552386_at	4.849032087
1552388_at	5.468095998
1552389_at	3.943920136
1552390_a_at	4.812290961
1552391_at	3.075654675
1552393_at	2.929151163
1552394_a_at	2.821976818
1552395_at	6.56632047
1552396_at	3.56423334
1552398_a_at	3.680396098
1552399_a_at	3.36617725
1552400_a_at	3.92487112
1552401_a_at	3.021032473
1552402_at	3.558500123
1552405_at	4.025710777
1552408_at	3.261710611
1552409_a_at	5.478132522
1552410_at	3.905756401
1552411_at	5.495454599
1552412_a_at	3.459623088
1552414_at	3.410648823
1552415_a_at	3.393222581
1552417_a_at	6.234936428
1552418_at	4.937723053
1552419_s_at	5.454220711
1552421_a_at	3.693639013
1552422_at	4.723861269
1552423_at	4.510591057
1552424_at	3.29443171
1552425_a_at	4.158081813
1552426_a_at	7.938748205
1552427_at	3.454951757
1552430_at	2.719937567
1552432_at	5.233684429
1552436_a_at	4.954349082
