ID_REF	VALUE
1007_s_at	10.32016034
1053_at	7.359930654
117_at	4.685678617
121_at	7.775419215
1255_g_at	3.0268009
1294_at	7.640986204
1316_at	4.48926722
1320_at	4.95864737
1405_i_at	7.421415385
1431_at	3.082050313
1438_at	6.468646612
1487_at	9.104444939
1494_f_at	5.675440891
1552256_a_at	7.202085483
1552257_a_at	9.229708499
1552258_at	4.168537023
1552261_at	4.122025922
1552263_at	6.148428417
1552264_a_at	7.662477148
1552266_at	3.453262132
1552269_at	3.992091033
1552271_at	5.900115086
1552272_a_at	5.732269857
1552274_at	6.87356713
1552275_s_at	5.845482838
1552276_a_at	5.462679343
1552277_a_at	5.993335155
1552278_a_at	4.865726583
1552279_a_at	6.517754423
1552280_at	3.849262828
1552281_at	8.588934016
1552283_s_at	3.441324812
1552286_at	4.829356204
1552287_s_at	5.493048184
1552288_at	3.665457333
1552289_a_at	4.266377618
1552291_at	6.002336046
1552293_at	4.567218295
1552295_a_at	5.341168909
1552296_at	6.892400987
1552299_at	4.786141693
1552301_a_at	4.459591522
1552302_at	3.675717327
1552303_a_at	4.816183299
1552304_at	3.491340343
1552306_at	3.91060249
1552307_a_at	5.213417133
1552309_a_at	4.988769924
1552310_at	6.653537681
1552311_a_at	6.987773024
1552312_a_at	6.523185494
1552314_a_at	4.009398851
1552315_at	6.218329324
1552316_a_at	5.995754319
1552318_at	5.458424326
1552319_a_at	3.713499475
1552320_a_at	3.243401692
1552321_a_at	2.877959354
1552322_at	2.862634972
1552323_s_at	3.745446856
1552325_at	2.752142392
1552326_a_at	4.050212628
1552327_at	3.239392247
1552329_at	4.08831988
1552330_at	5.613212849
1552332_at	6.696077923
1552334_at	4.846806982
1552335_at	5.228679556
1552337_s_at	4.729573821
1552338_at	4.207614446
1552340_at	4.848908475
1552343_s_at	3.721167421
1552344_s_at	5.350384935
1552347_at	6.390301278
1552348_at	5.641803722
1552349_a_at	4.555121858
1552354_at	4.667433379
1552355_s_at	4.86252518
1552359_at	2.881716975
1552360_a_at	5.662925322
1552362_a_at	6.376643064
1552364_s_at	4.021406545
1552365_at	9.152322319
1552367_a_at	8.622291729
1552368_at	3.166596088
1552370_at	8.246718366
1552372_at	2.718391072
1552373_s_at	2.899677114
1552375_at	3.153116251
1552377_s_at	6.198569116
1552378_s_at	6.260430873
1552379_at	2.742474943
1552381_at	2.861796631
1552383_at	7.071250377
1552384_a_at	4.630023356
1552386_at	4.779898871
